ghi,clear_sky_ghi,temp,humidity,district
2.1614,3.4766,15.0,44.34,Gurugram
0.8503,3.5364,14.79,62.46,Gurugram
1.3795,3.5808,14.6,75.79,Gurugram
2.1077,2.9947,13.1,64.43,Gurugram
3.5978,3.6024,12.57,46.47,Gurugram
2.5325,3.2182,13.05,54.81,Gurugram
1.6982,2.8946,12.64,56.24,Gurugram
1.5602,3.1001,13.02,44.37,Gurugram
1.9968,3.2978,12.49,36.51,Gurugram
3.0814,3.6434,11.11,38.76,Gurugram
2.2946,3.1231,12.45,35.73,Gurugram
2.1965,2.9414,13.03,35.91,Gurugram
2.6366,3.0994,12.75,40.59,Gurugram
1.3241,2.9458,11.25,55.58,Gurugram
2.7614,2.9976,11.2,67.6,Gurugram
3.0734,3.2957,12.64,61.85,Gurugram
3.1615,3.8599,13.77,55.18,Gurugram
2.9434,3.606,13.75,48.43,Gurugram
2.4422,3.3468,13.63,40.01,Gurugram
2.0484,3.1625,12.08,40.93,Gurugram
2.3225,3.0389,13.02,44.07,Gurugram
0.498,3.0516,12.94,76.05,Gurugram
2.659,3.3677,12.56,80.54,Gurugram
2.213,3.455,13.12,66.45,Gurugram
2.3674,3.2321,12.46,47.32,Gurugram
1.8502,3.2446,11.97,61.5,Gurugram
2.4641,2.6969,11.17,65.57,Gurugram
3.421,3.8062,9.88,52.12,Gurugram
4.1959,4.3615,10.01,43.12,Gurugram
4.6313,4.6346,10.93,39.55,Gurugram
4.4758,4.5569,13.7,34.66,Gurugram
3.9569,4.2967,14.66,38.74,Gurugram
3.3362,3.9638,15.48,44.25,Gurugram
3.7267,3.8393,14.65,59.96,Gurugram
2.9988,4.2821,13.62,63.84,Gurugram
4.7839,4.812,13.55,48.13,Gurugram
4.6183,4.6601,15.18,38.36,Gurugram
4.1748,4.1777,16.48,42.37,Gurugram
4.0046,4.0097,17.03,44.79,Gurugram
4.614,4.6378,15.65,49.56,Gurugram
4.7263,4.7758,15.37,41.88,Gurugram
4.3303,4.4083,15.74,37.54,Gurugram
4.3368,4.4755,15.12,34.78,Gurugram
4.9673,5.0318,17.32,29.01,Gurugram
4.8418,4.878,20.07,33.73,Gurugram
4.6675,4.7138,20.69,32.23,Gurugram
3.8952,4.3046,19.36,35.05,Gurugram
4.339,4.4026,19.94,41.86,Gurugram
4.0068,4.0889,21.16,37.0,Gurugram
4.3788,4.5139,21.05,39.51,Gurugram
4.6562,4.7518,21.63,40.79,Gurugram
4.8091,4.9519,21.63,37.03,Gurugram
5.2442,5.2942,21.85,42.42,Gurugram
4.7587,5.1072,21.51,38.47,Gurugram
3.4639,4.7059,21.29,37.24,Gurugram
3.2431,4.8962,21.42,33.08,Gurugram
5.2507,5.3563,16.14,20.13,Gurugram
5.5114,5.6006,16.73,20.58,Gurugram
4.8497,5.1766,17.98,29.35,Gurugram
1.0882,4.8382,16.5,80.7,Gurugram
2.7427,5.3338,15.81,86.06,Gurugram
3.5602,5.0155,15.95,62.67,Gurugram
5.5702,5.5814,16.14,46.56,Gurugram
5.7602,5.7727,18.79,34.6,Gurugram
5.5087,5.6138,18.29,50.47,Gurugram
3.9965,5.3352,19.77,53.68,Gurugram
4.5007,5.5332,19.75,54.11,Gurugram
5.8397,5.8754,15.33,43.71,Gurugram
6.2527,6.307,16.22,46.93,Gurugram
5.9162,6.2664,18.87,35.19,Gurugram
5.6616,5.7415,21.22,38.56,Gurugram
3.5926,5.5848,22.25,50.02,Gurugram
3.5244,5.7746,21.51,58.77,Gurugram
1.4218,5.0606,18.84,75.03,Gurugram
4.9735,5.5157,19.16,71.34,Gurugram
5.9923,6.0509,19.52,59.79,Gurugram
6.2575,6.2899,19.21,54.69,Gurugram
6.5006,6.5275,20.68,42.79,Gurugram
6.4006,6.4848,23.11,34.17,Gurugram
6.2736,6.2863,24.28,35.77,Gurugram
6.3353,6.3509,24.2,46.61,Gurugram
6.439,6.4709,24.81,44.24,Gurugram
6.6708,6.6806,27.06,31.44,Gurugram
6.1505,6.247,27.59,31.29,Gurugram
5.885,6.0122,27.81,36.98,Gurugram
6.3199,6.3727,27.83,36.86,Gurugram
6.7884,6.8172,28.33,28.93,Gurugram
2.7691,5.893,23.52,45.0,Gurugram
5.2008,5.856,22.44,64.62,Gurugram
5.987,6.167,24.59,56.03,Gurugram
5.7269,6.4272,26.36,46.55,Gurugram
6.3194,6.505,27.03,43.18,Gurugram
4.5046,6.2369,24.14,58.1,Gurugram
4.434,6.1498,20.95,74.23,Gurugram
6.7562,6.8479,23.24,53.97,Gurugram
6.7678,6.953,24.48,40.6,Gurugram
5.6714,6.4702,24.89,41.52,Gurugram
6.7927,6.8465,24.8,44.13,Gurugram
7.4328,7.4369,24.25,44.0,Gurugram
7.3663,7.3937,25.63,40.36,Gurugram
6.6216,6.9984,28.67,30.94,Gurugram
3.3658,6.5654,25.95,48.03,Gurugram
4.7784,6.1721,25.08,56.57,Gurugram
5.9815,6.4054,25.27,56.12,Gurugram
6.0086,6.5422,26.68,50.36,Gurugram
4.4119,6.1248,27.2,50.29,Gurugram
6.7613,6.8302,27.26,46.84,Gurugram
6.7783,6.8254,29.8,39.64,Gurugram
6.9866,7.0382,31.65,34.93,Gurugram
6.3149,6.6398,30.81,34.23,Gurugram
6.7231,6.8935,29.31,33.95,Gurugram
7.5602,7.5823,29.5,28.43,Gurugram
7.4906,7.5739,31.19,22.42,Gurugram
7.3711,7.4918,32.62,19.72,Gurugram
7.4669,7.5031,32.31,19.98,Gurugram
7.0356,7.0848,29.21,39.59,Gurugram
6.5729,6.7085,30.73,36.56,Gurugram
6.5431,6.6775,31.91,36.81,Gurugram
7.0754,7.1342,32.44,28.38,Gurugram
7.1088,7.1755,32.11,29.06,Gurugram
6.9919,7.1026,31.17,31.08,Gurugram
7.1789,7.3409,31.67,26.57,Gurugram
7.3666,7.4844,32.12,19.56,Gurugram
7.7004,7.7222,33.32,16.17,Gurugram
7.4326,7.4594,32.99,17.23,Gurugram
7.5005,7.5408,33.83,14.28,Gurugram
7.3483,7.4033,34.72,14.94,Gurugram
7.332,7.548,34.58,16.69,Gurugram
6.9554,7.1518,35.04,22.45,Gurugram
7.2314,7.309,35.6,22.57,Gurugram
6.4622,7.1119,36.04,22.67,Gurugram
7.0901,7.2214,34.84,25.27,Gurugram
4.4669,7.3524,33.92,25.93,Gurugram
7.1854,7.3502,32.59,27.52,Gurugram
6.3425,7.122,33.29,28.57,Gurugram
7.4383,7.507,34.2,24.12,Gurugram
7.5888,7.6032,34.53,22.21,Gurugram
7.4482,7.5098,36.9,19.2,Gurugram
5.0813,7.0231,38.07,16.77,Gurugram
7.5502,7.6255,35.84,17.4,Gurugram
7.7539,7.7784,36.13,16.94,Gurugram
7.9368,7.9783,37.07,16.35,Gurugram
7.4726,7.669,37.03,14.56,Gurugram
7.1834,7.289,37.27,13.75,Gurugram
